통화명,환율(원),전일대비,Date
위안 (CNH),192.41,0.06,2024-11-20
일본 엔 (JPY) (100),900.56,0.83000,2024-11-20
유로 (EUR),"1,475.10",0.29000,2024-11-20
영국 파운드 (GBP),"1,765.40",0.49000,2024-11-20
캐나다 달러 (CAD),997.49,4.30000,2024-11-20
스위스 프랑 (CHF),"1,577.61",0.67000,2024-11-20
호주 달러 (AUD),909.53,3.92000,2024-11-20
뉴질랜드 달러 (NZD),823.37,3.20000,2024-11-20
홍콩 달러 (HKD),178.84,0.07000,2024-11-20
대만 달러 (TWD),43.04,0.14000,2024-11-20
몽골 투그릭 (MNT),0.41,0,2024-11-20
카자흐스탄 텡게 (KZT),2.80,0.01000,2024-11-20
태국 밧 (THB),40.36,0.11000,2024-11-20
싱가포르 달러 (SGD),"1,040.48",0.33000,2024-11-20
인도네시아 루피아 (IDR) (100),8.79,0,2024-11-20
말레이시아 링깃 (MYR),311.20,0.39000,2024-11-20
필리핀 페소 (PHP),23.65,0.07000,2024-11-20
베트남 동 (VND) (100),5.48,0,2024-11-20
브루나이 달러 (BND),"1,040.48",0.33000,2024-11-20
인도 루피 (INR),16.49,0.01000,2024-11-20
파키스탄 루피 (PKR),5.01,0,2024-11-20
방글라데시 타카 (BDT),11.65,0,2024-11-20
캄보디아 리엘 (KHR),0.34,0,2024-11-20
마카오 파타카 (MOP),173.54,0.08000,2024-11-20
네팔 루피 (NPR),10.31,0,2024-11-20
스리랑카 루피 (LKR),4.78,0,2024-11-20
우즈베키스탄 숨 (UZS),0.11,0,2024-11-20
미얀마 짯 (MMK),0.66,0,2024-11-20
멕시코 페소 (MXN),69.23,0.35000,2024-11-20
브라질 헤알 (BRL),241.12,1.16000,2024-11-20
아르헨티나 페소 (ARS),1.39,0,2024-11-20
칠레 페소 (CLP),1.43,0,2024-11-20
콜롬비아 페소 (COP),0.32,0,2024-11-20
스웨덴 크로나 (SEK),127.49,0.14000,2024-11-20
덴마크 크로네 (DKK),197.76,0.05000,2024-11-20
노르웨이 크로네 (NOK),126.79,0.22000,2024-11-20
러시아 루블 (RUB),13.84,0.12000,2024-11-20
헝가리 포린트 (HUF),3.61,0.02000,2024-11-20
폴란드 즈워티 (PLN),340.39,1.52000,2024-11-20
체코 코루나 (CZK),58.33,0,2024-11-20
루마니아 레우 (RON),296.42,0.07000,2024-11-20
사우디아라비아 리얄 (SAR),370.79,0.17000,2024-11-20
카타르 리얄 (QAR),381.68,0.29000,2024-11-20
이스라엘 셰켈 (ILS),371.79,0.82000,2024-11-20
요르단 디나르 (JOD),"1,961.25",2.92000,2024-11-20
쿠웨이트 디나르 (KWD),"4,528.01",2.10000,2024-11-20
바레인 디나르 (BHD),"3,692.50",1.69000,2024-11-20
아랍에미리트 디르함 (AED),378.98,0.17000,2024-11-20
튀르키예 리라 (TRY),40.34,0.06000,2024-11-20
오만 리얄 (OMR),"3,615.30",1.56000,2024-11-20
남아프리카공화국 랜드 (ZAR),77.14,0.41000,2024-11-20
이집트 파운드 (EGP),28.10,0.06000,2024-11-20
케냐 실링 (KES),10.77,0,2024-11-20
리비아 디나르 (LYD),285.46,0.34000,2024-11-20
에티오피아 비르 (ETB),11.35,0.04000,2024-11-20
피지 달러 (FJD),614.85,1.13000,2024-11-20
